Feature,P-Value
KMeans Silhouette Score,0.0027143943004321464
KMeans CH Score,0.0661908334190811
KMeans DB Score,0.005363591416379152
DBSCAN Silhouette Score,0.0057659051938368155
DBSCAN CH Score,0.03456708449884848
DBSCAN DB Score,0.0014272830599952981
DBSCAN Noise Ratio,0.21211218046969818
GMM Silhouette Score,0.028351891189895465
GMM CH Score,0.0686677241777253
GMM DB Score,0.4636560039835069
BIRCH Silhouette Score,0.3198061160744684
BIRCH CH Score,0.0751411218911471
BIRCH DB Score,0.39352493210002193
